question,answer
What is the difficulty level of the Partner lying leg raise with lateral throw down exercise?,Beginner
What type of exercise is Partner lying leg raise with lateral throw down?,Strength
What is the rating of the Partner lying leg raise with lateral throw down exercise?,0.0
What is the Hanging leg raise with throw down exercise?,"The hanging leg raise with throw down is a more advanced version of the hanging knee raise that utilizes a partner to make the movement more difficult. The partner pushes down at the top of each rep, forcing the lifter to ""fight back"" with their abs."
Which body part does the Hanging leg raise with throw down exercise target?,Abdominals
What equipment is needed for the Hanging leg raise with throw down exercise?,Body Only
What is the difficulty level of the Hanging leg raise with throw down exercise?,Beginner
What type of exercise is Hanging leg raise with throw down?,Strength
What is the rating of the Hanging leg raise with throw down exercise?,0.0
What is the Partner sit-up with high-five exercise?,The partner sit-up with high-five is a full-body exercise targeting the core. Partners each perform a sit-up and high-five each other mid rep.
Which body part does the Partner sit-up with high-five exercise target?,Abdominals
What equipment is needed for the Partner sit-up with high-five exercise?,Body Only
What is the difficulty level of the Partner sit-up with high-five exercise?,Beginner
What type of exercise is Partner sit-up with high-five?,Strength
What is the rating of the Partner sit-up with high-five exercise?,0.0
What is the Exercise ball knee roll-in exercise?,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring a fair amount of core strength.
Which body part does the Exercise ball knee roll-in exercise target?,Abdominals
What equipment is needed for the Exercise ball knee roll-in exercise?,Body Only
What is the difficulty level of the Exercise ball knee roll-in exercise?,Intermediate
What type of exercise is Exercise ball knee roll-in?,Strength
What is the rating of the Exercise ball knee roll-in exercise?,0.0
What is the Partner lying leg raise with throw down exercise?,The partner lying leg raise with throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.
Which body part does the Partner lying leg raise with throw down exercise target?,Abdominals
What equipment is needed for the Partner lying leg raise with throw down exercise?,Body Only
What is the difficulty level of the Partner lying leg raise with throw down exercise?,Beginner
What type of exercise is Partner lying leg raise with throw down?,Strength
What is the rating of the Partner lying leg raise with throw down exercise?,0.0
What is the Crab toe-touch exercise?,"The crab toe-touch is a full-body exercise targeting the glutes, hamstrings, quads, and core. It is a challenging move that trains balance, core strength, and many muscle groups, making it work well in a time-efficient bodyweight circuit workout."
Which body part does the Crab toe-touch exercise target?,Abdominals
What equipment is needed for the Crab toe-touch exercise?,Body Only
What is the difficulty level of the Crab toe-touch exercise?,Intermediate
What type of exercise is Crab toe-touch?,Strength
What is the rating of the Crab toe-touch exercise?,0.0
What is the Side kick-through exercise?,"The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence."
Which body part does the Side kick-through exercise target?,Abdominals
What equipment is needed for the Side kick-through exercise?,Body Only
What is the difficulty level of the Side kick-through exercise?,Intermediate
What type of exercise is Side kick-through?,Strength
What is the rating of the Side kick-through exercise?,0.0
What is the Partner target sit-up exercise?,"The partner target sit-up is a core exercise where one partner performs sit-ups, while the other uses his or her hands to create a target for them to reach for. This increases the challenge of each rep. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the Partner target sit-up exercise target?,Abdominals
What equipment is needed for the Partner target sit-up exercise?,Body Only
What is the difficulty level of the Partner target sit-up exercise?,Beginner
What type of exercise is Partner target sit-up?,Strength
What is the rating of the Partner target sit-up exercise?,0.0
Which body part does the Suspended Crunch exercise target?,Abdominals
What equipment is needed for the Suspended Crunch exercise?,Body Only
What is the difficulty level of the Suspended Crunch exercise?,Beginner
What type of exercise is Suspended Crunch?,Strength
What is the rating of the Suspended Crunch exercise?,0.0
What is the Jump Lunge exercise?,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout."
Which body part does the Jump Lunge exercise target?,Abdominals
What equipment is needed for the Jump Lunge exercise?,Body Only
What is the difficulty level of the Jump Lunge exercise?,Intermediate
What type of exercise is Jump Lunge?,Strength
What is the Side plank hip dip exercise?,"The side plank hip dip is a dynamic version of the side plank exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It can be performed for time or reps and can work in a warm-up or in the core-focused portion of any workout."
Which body part does the Side plank hip dip exercise target?,Abdominals
What equipment is needed for the Side plank hip dip exercise?,Body Only
What is the difficulty level of the Side plank hip dip exercise?,Intermediate
What type of exercise is Side plank hip dip?,Strength
What is the Elbow plank jack exercise?,"The elbow plank jack is an isometric abdominal exercise with a dynamic lower-body component. It targets the muscles of the core, the deep core or transversus abdominis in particular. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the Elbow plank jack exercise target?,Abdominals
What equipment is needed for the Elbow plank jack exercise?,Body Only
What is the difficulty level of the Elbow plank jack exercise?,Intermediate
What type of exercise is Elbow plank jack?,Strength
What is the Exercise ball V-up exercise?,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit."
Which body part does the Exercise ball V-up exercise target?,Abdominals
What equipment is needed for the Exercise ball V-up exercise?,Body Only
What is the difficulty level of the Exercise ball V-up exercise?,Intermediate
What type of exercise is Exercise ball V-up?,Strength
What is the Standing torso twist stretch exercise?,"The standing torso twist stretch is a stretching exercise targeting the lats and core, particularly the obliques. It’s great before a workout or any sporting event that involves a lot of twisting of the upper body."
Which body part does the Standing torso twist stretch exercise target?,Abdominals
What equipment is needed for the Standing torso twist stretch exercise?,Body Only
What is the difficulty level of the Standing torso twist stretch exercise?,Intermediate
What type of exercise is Standing torso twist stretch?,Strength
What is the Slalom jumps exercise?,"The slalom jump is an explosive bodyweight exercise that targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout."
Which body part does the Slalom jumps exercise target?,Abdominals
What equipment is needed for the Slalom jumps exercise?,Body Only
What is the difficulty level of the Slalom jumps exercise?,Intermediate
What type of exercise is Slalom jumps?,Plyometrics
What is the Bear crawl exercise?,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
Which body part does the Bear crawl exercise target?,Abdominals
What equipment is needed for the Bear crawl exercise?,Body Only
What is the difficulty level of the Bear crawl exercise?,Intermediate
What type of exercise is Bear crawl?,Strength
What is the Crab single-arm reach exercise?,"The crab single-arm reach is a full-body exercise that requires maintaining a tabletop position while alternating arm raises. It is an excellent movement to include in a dynamic warm-up, a bodyweight circuit, or for muscle activation or mobility anytime."
Which body part does the Crab single-arm reach exercise target?,Abdominals
What equipment is needed for the Crab single-arm reach exercise?,Body Only
What is the difficulty level of the Crab single-arm reach exercise?,Intermediate
What type of exercise is Crab single-arm reach?,Stretching
What is the Side lunge cross-body heel-touch exercise?,"The side lunge cross-body heel-touch is a lower-body exercise targeting the quads, glutes, and hamstrings. The heel-touch adds a slight rotational challenge."
Which body part does the Side lunge cross-body heel-touch exercise target?,Abdominals
What equipment is needed for the Side lunge cross-body heel-touch exercise?,Body Only
What is the difficulty level of the Side lunge cross-body heel-touch exercise?,Intermediate
What type of exercise is Side lunge cross-body heel-touch?,Strength
What is the Alligator Crawl exercise?,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
Which body part does the Alligator Crawl exercise target?,Abdominals
What equipment is needed for the Alligator Crawl exercise?,Body Only
What is the difficulty level of the Alligator Crawl exercise?,Intermediate
What type of exercise is Alligator Crawl?,Strength
What is the Lying cross-over lower back stretch exercise?,"The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back, hips, and torso. It involves rotating the legs while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime."
Which body part does the Lying cross-over lower back stretch exercise target?,Abdominals
What equipment is needed for the Lying cross-over lower back stretch exercise?,Body Only
What is the difficulty level of the Lying cross-over lower back stretch exercise?,Intermediate
What type of exercise is Lying cross-over lower back stretch?,Strength
What is the Half bird dog exercise?,"The half bird dog is a core exercise designed to strengthen the posterior chain. In the half bird dog, you will raise one arm or one leg at a time, rather than both at once as you would for a regular bird dog."
Which body part does the Half bird dog exercise target?,Abdominals
What equipment is needed for the Half bird dog exercise?,Body Only
What is the difficulty level of the Half bird dog exercise?,Intermediate
What type of exercise is Half bird dog?,Stretching
What is the Shoulder tap exercise?,"The shoulder tap is an exercise targeting the abdominals and core. The basic stance matches the top of a push-up position. From there, one hand is raised to tap its opposing shoulder. A tap with each hand to each opposing shoulder equals one rep."
Which body part does the Shoulder tap exercise target?,Abdominals
What equipment is needed for the Shoulder tap exercise?,Body Only
What is the difficulty level of the Shoulder tap exercise?,Intermediate
What type of exercise is Shoulder tap?,Strength
What is the Double crunch exercise?,"The double crunch is a bodyweight exercise focused on the muscles of the core, the rectus abdominis or ""six-pack"" muscles in particular. It's a very simple exercise that involves ""crunching"" the knees and elbows toward each other using the abdominal muscles, while keeping the back flat against the ground."
Which body part does the Double crunch exercise target?,Abdominals
What equipment is needed for the Double crunch exercise?,Body Only
What is the difficulty level of the Double crunch exercise?,Intermediate
What type of exercise is Double crunch?,Strength
What is the Flutter kick exercise?,"The flutter kick is a core exercise where the legs are held off the ground as you flutter your feet over and under each other in small motions. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the Flutter kick exercise target?,Abdominals
What equipment is needed for the Flutter kick exercise?,Body Only
What is the difficulty level of the Flutter kick exercise?,Intermediate
What type of exercise is Flutter kick?,Strength
What is the Sprawl exercise?,"The sprawl is an explosive bodyweight exercise that targets the core, upper body, and lower body. It is similar to a burpee, but without a jump at the top and with a plank instead of a push-up at the bottom. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
Which body part does the Sprawl exercise target?,Abdominals
What equipment is needed for the Sprawl exercise?,Body Only
What is the difficulty level of the Sprawl exercise?,Intermediate
What type of exercise is Sprawl?,Strength
What is the Spider plank jack exercise?,"The spider plank jack is a bodyweight core exercise that begins in a straight-arm plank, then combines a spider crunch and a plank jack into a single sequence. It can be performed as bodyweight core training or for conditioning in a fat-loss or athleticism-focused circuit."
Which body part does the Spider plank jack exercise target?,Abdominals
What equipment is needed for the Spider plank jack exercise?,Body Only
What is the difficulty level of the Spider plank jack exercise?,Intermediate
What type of exercise is Spider plank jack?,Strength
Which body part does the Pillar-To-Plank exercise target?,Abdominals
What equipment is needed for the Pillar-To-Plank exercise?,Body Only
What is the difficulty level of the Pillar-To-Plank exercise?,Intermediate
What type of exercise is Pillar-To-Plank?,Strength
Which body part does the Alternating High Knee Raise exercise target?,Abdominals
What equipment is needed for the Alternating High Knee Raise exercise?,Body Only
What is the difficulty level of the Alternating High Knee Raise exercise?,Intermediate
What type of exercise is Alternating High Knee Raise?,Strength
Which body part does the Sumo Squat Pulse exercise target?,Abdominals
What equipment is needed for the Sumo Squat Pulse exercise?,Body Only
What is the difficulty level of the Sumo Squat Pulse exercise?,Intermediate
What type of exercise is Sumo Squat Pulse?,Strength
Which body part does the Line-Drill Foot Work exercise target?,Abdominals
What equipment is needed for the Line-Drill Foot Work exercise?,Body Only
What is the difficulty level of the Line-Drill Foot Work exercise?,Intermediate
What type of exercise is Line-Drill Foot Work?,Strength
Which body part does the Plank Fire Hydrants exercise target?,Abdominals
What equipment is needed for the Plank Fire Hydrants exercise?,Body Only
What is the difficulty level of the Plank Fire Hydrants exercise?,Intermediate
What type of exercise is Plank Fire Hydrants?,Strength
What is the Banded jumping jack exercise?,"The banded jumping jack takes a classic plyometric exercise and adds an extra degree of difficulty in the form of a band surrounding the thighs, just above the knees. It can be performed for time or reps and is a great way to warm up for athletics or lower-body lifting."
Which body part does the Banded jumping jack exercise target?,Abdominals
What equipment is needed for the Banded jumping jack exercise?,Body Only
What is the difficulty level of the Banded jumping jack exercise?,Intermediate
What type of exercise is Banded jumping jack?,Strength
What is the Shin hug exercise?,"The shin hug is a bodyweight exercise focused on the muscles of the core. It shares characteristics with V-ups and crunches, but finishes with the ribs touching the thighs. It can be performed for time or for reps as part of the ab-focused portion of any workout."
Which body part does the Shin hug exercise target?,Abdominals
What equipment is needed for the Shin hug exercise?,Body Only
What is the difficulty level of the Shin hug exercise?,Intermediate
What type of exercise is Shin hug?,Strength
What is the FYR Bear Crawl Fire Feet exercise?,"Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow."
Which body part does the FYR Bear Crawl Fire Feet exercise target?,Abdominals
What equipment is needed for the FYR Bear Crawl Fire Feet exercise?,Body Only
What is the difficulty level of the FYR Bear Crawl Fire Feet exercise?,Intermediate
What type of exercise is FYR Bear Crawl Fire Feet?,Strength
What is the Bear crawl up-down exercise?,"The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow."
Which body part does the Bear crawl up-down exercise target?,Abdominals
What equipment is needed for the Bear crawl up-down exercise?,Body Only
What is the difficulty level of the Bear crawl up-down exercise?,Intermediate
What type of exercise is Bear crawl up-down?,Strength
What is the FYR Crab Kick exercise?,"The crab toe-touch is a full-body exercise targeting the glutes, hamstrings, quads, and core."
Which body part does the FYR Crab Kick exercise target?,Abdominals
What equipment is needed for the FYR Crab Kick exercise?,Body Only
What is the difficulty level of the FYR Crab Kick exercise?,Intermediate
What type of exercise is FYR Crab Kick?,Strength
What is the Bear crawl hold exercise?,"The bear crawl hold is a static variation of the bear crawl exercise performed for time. It looks simple, but it demands full-body tension and is taxing to the shoulders, core, and legs. It can be done as a full-body warm-up, as part of a bodyweight circuit or flow, or as a build-up to the traditional bear crawl."
Which body part does the Bear crawl hold exercise target?,Abdominals
What equipment is needed for the Bear crawl hold exercise?,Body Only
What is the difficulty level of the Bear crawl hold exercise?,Intermediate
What type of exercise is Bear crawl hold?,Strength
What is the Traveling bear crawl exercise?,"The traveling bear crawl is a more advanced version of the bear crawl exercise that moves side to side rather than front to back. While it looks simple, the traveling bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
Which body part does the Traveling bear crawl exercise target?,Abdominals
What equipment is needed for the Traveling bear crawl exercise?,Body Only
What is the difficulty level of the Traveling bear crawl exercise?,Intermediate
What type of exercise is Traveling bear crawl?,Strength
What is the Single-leg V-up exercise?,"The single-leg V-up is a bodyweight exercise that targets the abdominals and the hip flexors, working one side of the body at a time. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the Single-leg V-up exercise target?,Abdominals
What equipment is needed for the Single-leg V-up exercise?,Body Only
What is the difficulty level of the Single-leg V-up exercise?,Intermediate
What type of exercise is Single-leg V-up?,Strength
What is the FYR Bear Crawl Shoulder Tap exercise?,"The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow."
Which body part does the FYR Bear Crawl Shoulder Tap exercise target?,Abdominals
What equipment is needed for the FYR Bear Crawl Shoulder Tap exercise?,Body Only
What is the difficulty level of the FYR Bear Crawl Shoulder Tap exercise?,Intermediate
What type of exercise is FYR Bear Crawl Shoulder Tap?,Strength
What is the Alternating single-leg sprawl exercise?,"The alternating single-leg sprawl is an explosive bodyweight exercise that targets the core, upper body, and lower body. It differs from a standard sprawl by including a single-leg plank instead of a regular plank at the bottom. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
Which body part does the Alternating single-leg sprawl exercise target?,Abdominals
What equipment is needed for the Alternating single-leg sprawl exercise?,Body Only
What is the difficulty level of the Alternating single-leg sprawl exercise?,Intermediate
What type of exercise is Alternating single-leg sprawl?,Strength
What is the Wide mountain climber exercise?,"The wide mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It is different from a traditional mountain climber because you bring the knee to the outside of the elbow rather than the inside. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training."
Which body part does the Wide mountain climber exercise target?,Abdominals
What equipment is needed for the Wide mountain climber exercise?,Body Only
What is the difficulty level of the Wide mountain climber exercise?,Intermediate
What type of exercise is Wide mountain climber?,Strength
What is the Plank leg raise exercise?,"The plank leg raise is an isometric abdominal exercise that targets the muscles of the core, the deep core or transversus abdominis in particular. It also targets the muscles of the glutes and hips. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the Plank leg raise exercise target?,Abdominals
What equipment is needed for the Plank leg raise exercise?,Body Only
What is the difficulty level of the Plank leg raise exercise?,Intermediate
What type of exercise is Plank leg raise?,Strength
What is the Glute bridge step-out exercise?,"The glute bridge step-out is a lower-body bodyweight exercise that targets the glutes and hamstrings. It differs from a glute bridge by the addition of a step-out, which increases stress on the hamstrings. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime."
Which body part does the Glute bridge step-out exercise target?,Abdominals
What equipment is needed for the Glute bridge step-out exercise?,Body Only
What is the difficulty level of the Glute bridge step-out exercise?,Intermediate
What type of exercise is Glute bridge step-out?,Strength
What is the Knee up-down exercise?,"The knee up-down is a bodyweight exercise that mimics getting up and down from a kneeling position on the floor. It combines the low position of a squat with lunges, bringing some of the benefits of both. It can be done for time or reps as part of a dynamic warm-up or as part of a bodyweight circuit or workout."
Which body part does the Knee up-down exercise target?,Abdominals
What equipment is needed for the Knee up-down exercise?,Body Only
What is the difficulty level of the Knee up-down exercise?,Intermediate
What type of exercise is Knee up-down?,Strength
What is the FYR Sprawl exercise?,"The sprawl is an explosive bodyweight exercise that targets the core, upper body, and lower body. It is similar to a burpee, but without a jump at the top and with a plank instead of a push-up at the bottom. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
Which body part does the FYR Sprawl exercise target?,Abdominals
What equipment is needed for the FYR Sprawl exercise?,Body Only
What is the difficulty level of the FYR Sprawl exercise?,Intermediate
What type of exercise is FYR Sprawl?,Strength
What is the Reach crunch exercise?,The reach crunch is a bodyweight core exercise that involves keeping the arms raised toward the ceiling while performing a crunch. It can be performed for time or reps as part of any abs-focused circuit or workout.
Which body part does the Reach crunch exercise target?,Abdominals
What equipment is needed for the Reach crunch exercise?,Body Only
What is the difficulty level of the Reach crunch exercise?,Intermediate
What type of exercise is Reach crunch?,Strength
What is the FYR Push-Up Plank Hold exercise?,"The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders."
Which body part does the FYR Push-Up Plank Hold exercise target?,Abdominals
What equipment is needed for the FYR Push-Up Plank Hold exercise?,Body Only
What is the difficulty level of the FYR Push-Up Plank Hold exercise?,Intermediate
What type of exercise is FYR Push-Up Plank Hold?,Strength
What is the FYR Hollow-Body Rock exercise?,"The hollow-body rock is a bodyweight abdominal exercise performed on the floor. It starts with a hollow-body hold and adds a back-and-forth rock that challenges core stability and increases the difficulty of the movement. It can be performed for time or for reps, either in an ab-focused portion of a workout or as part of a circuit workout."
Which body part does the FYR Hollow-Body Rock exercise target?,Abdominals
What equipment is needed for the FYR Hollow-Body Rock exercise?,Body Only
What is the difficulty level of the FYR Hollow-Body Rock exercise?,Intermediate
What type of exercise is FYR Hollow-Body Rock?,Strength
What is the V-up plus knee-to-chest combo exercise?,The V-up plus knee-to-chest combo is a core exercise that targets the abdominals and hip flexors by combining two movements into a single sequence. It can be performed for time or reps in the ab-focused portion of any workout.
Which body part does the V-up plus knee-to-chest combo exercise target?,Abdominals
What equipment is needed for the V-up plus knee-to-chest combo exercise?,Body Only
What is the difficulty level of the V-up plus knee-to-chest combo exercise?,Intermediate
What type of exercise is V-up plus knee-to-chest combo?,Strength
What is the Side plank lateral raise exercise?,"The side plank lateral raise is an exercise that combines an isometric side plank hold with a dumbbell raise to target both the core and the shoulders. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a time-efficient workout."
Which body part does the Side plank lateral raise exercise target?,Abdominals
What equipment is needed for the Side plank lateral raise exercise?,Body Only
What is the difficulty level of the Side plank lateral raise exercise?,Intermediate
What type of exercise is Side plank lateral raise?,Strength
What is the Superhero burpee exercise?,"The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit."
Which body part does the Superhero burpee exercise target?,Abdominals
What equipment is needed for the Superhero burpee exercise?,Body Only
What is the difficulty level of the Superhero burpee exercise?,Intermediate
What type of exercise is Superhero burpee?,Strength
What is the Hollow-body abduction exercise?,"The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the Hollow-body abduction exercise target?,Abdominals
What equipment is needed for the Hollow-body abduction exercise?,Body Only
What is the difficulty level of the Hollow-body abduction exercise?,Intermediate
What type of exercise is Hollow-body abduction?,Strength
Which body part does the FYR Hollow Hold exercise target?,Abdominals
What equipment is needed for the FYR Hollow Hold exercise?,Body Only
What is the difficulty level of the FYR Hollow Hold exercise?,Intermediate
What type of exercise is FYR Hollow Hold?,Strength
What is the Tip-toe crunch exercise?,The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.
Which body part does the Tip-toe crunch exercise target?,Abdominals
What equipment is needed for the Tip-toe crunch exercise?,Body Only
What is the difficulty level of the Tip-toe crunch exercise?,Intermediate
What type of exercise is Tip-toe crunch?,Strength
What is the Knee-to-nose pulse exercise?,"The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position."
Which body part does the Knee-to-nose pulse exercise target?,Abdominals
What equipment is needed for the Knee-to-nose pulse exercise?,Body Only
What is the difficulty level of the Knee-to-nose pulse exercise?,Intermediate
What type of exercise is Knee-to-nose pulse?,Strength
What is the Plank walk-out exercise?,"The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise."
Which body part does the Plank walk-out exercise target?,Abdominals
What equipment is needed for the Plank walk-out exercise?,Body Only
What is the difficulty level of the Plank walk-out exercise?,Intermediate
What type of exercise is Plank walk-out?,Strength
What is the FYR V-Up exercise?,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout."
Which body part does the FYR V-Up exercise target?,Abdominals
What equipment is needed for the FYR V-Up exercise?,Body Only
What is the difficulty level of the FYR V-Up exercise?,Intermediate
What type of exercise is FYR V-Up?,Strength
What is the Long sit-up exercise?,"The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free."
Which body part does the Long sit-up exercise target?,Abdominals
What equipment is needed for the Long sit-up exercise?,Body Only
What is the difficulty level of the Long sit-up exercise?,Intermediate
What type of exercise is Long sit-up?,Strength
What is the FYR Breakdancer exercise?,"The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence."
Which body part does the FYR Breakdancer exercise target?,Abdominals
What equipment is needed for the FYR Breakdancer exercise?,Body Only
What is the difficulty level of the FYR Breakdancer exercise?,Intermediate
What type of exercise is FYR Breakdancer?,Strength
What is the Seated leg lift exercise?,The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.
Which body part does the Seated leg lift exercise target?,Abdominals
What equipment is needed for the Seated leg lift exercise?,Body Only
What is the difficulty level of the Seated leg lift exercise?,Intermediate
What type of exercise is Seated leg lift?,Strength
What is the Gorilla burpee exercise?,"The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
Which body part does the Gorilla burpee exercise target?,Abdominals
What equipment is needed for the Gorilla burpee exercise?,Body Only
What is the difficulty level of the Gorilla burpee exercise?,Intermediate
What type of exercise is Gorilla burpee?,Strength
What is the Knee-in to V-out exercise?,"The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout."
Which body part does the Knee-in to V-out exercise target?,Abdominals
What equipment is needed for the Knee-in to V-out exercise?,Body Only
What is the difficulty level of the Knee-in to V-out exercise?,Intermediate
What type of exercise is Knee-in to V-out?,Strength
What is the Bear crawl push-up exercise?,"The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow."
Which body part does the Bear crawl push-up exercise target?,Abdominals
What equipment is needed for the Bear crawl push-up exercise?,Body Only
What is the difficulty level of the Bear crawl push-up exercise?,Intermediate
What type of exercise is Bear crawl push-up?,Strength
Which body part does the FYR Front Step exercise target?,Abdominals
What equipment is needed for the FYR Front Step exercise?,Body Only
What is the difficulty level of the FYR Front Step exercise?,Intermediate
What type of exercise is FYR Front Step?,Strength
What is the Plank reach exercise?,"The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps."
Which body part does the Plank reach exercise target?,Abdominals
What equipment is needed for the Plank reach exercise?,Body Only
What is the difficulty level of the Plank reach exercise?,Intermediate
What type of exercise is Plank reach?,Strength
What is the Eiffel Tower leg raise exercise?,"The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout."
